Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\Concrete,13,473,402,232,18,65,4,6,39,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\Properties,1,31,15,4,0,3,0,13,67,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MonoMacGui,16,952,729,389,40,161,1,62,370,24,152
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.StandardTypeResolver,12,504,405,211,31,91,2,8,29,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Tests,9,314,213,119,0,21,3,80,288,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Tests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Tests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.WinApp,12,738,498,351,9,64,2,176,540,0,2
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.WinApp\Properties,3,141,69,28,5,22,2,50,282,0,2
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.WinApp\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.WinApp\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
