File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Domain\TextFile.cs,9,8,4,0,1,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Domain\Abstract\IFileWather.cs,6,6,2,0,0,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Domain\Abstract\ISettingsRepository.cs,10,10,6,0,0,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Domain\Concrete\XmlSettingsRepository.cs,152,135,83,13,17,1,0,8,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Domain\Properties\AssemblyInfo.cs,31,15,4,0,3,0,13,67,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.FileMerger\Converter.cs,122,107,68,14,14,0,1,5,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.FileMerger\FileMerger.cs,163,141,94,17,17,1,5,17,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.FileMerger\FileTools.cs,41,37,19,9,4,1,0,8,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.FileMerger\Program.cs,28,25,11,2,3,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.FileMerger\Validator.cs,44,36,20,4,8,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.FileMerger\Properties\AssemblyInfo.cs,25,10,1,0,6,0,9,70,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.GuiShared\DiffPresenter.cs,41,33,21,0,5,0,3,9,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.GuiShared\HostsPresenter.cs,23,20,12,0,3,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.GuiShared\IDiffView.cs,9,9,5,0,0,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.GuiShared\IHostView.cs,14,9,5,0,1,0,4,11,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.GuiShared\IMainView.cs,17,8,4,0,1,0,8,26,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.GuiShared\ISettingsView.cs,44,14,10,0,6,0,24,126,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.GuiShared\MainPresenter.cs,31,25,13,1,4,0,2,3,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.GuiShared\ResourceWorker.cs,9,8,4,0,1,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.GuiShared\SettingsPresenter.cs,41,37,27,1,4,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.GuiShared\SyncStatus.cs,7,7,2,0,0,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.IosApp\AppDelegate.cs,49,29,14,0,9,0,11,117,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.IosApp\DeviacesTableVievControllerTableViewController.cs,17,12,6,0,4,0,1,13,1,13
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.IosApp\DeviacesTableVievControllerTableViewController.designer.cs,22,14,7,0,2,0,6,29,6,29
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.IosApp\FilesViewController.cs,17,12,6,0,4,0,1,13,1,13
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.IosApp\FilesViewController.designer.cs,22,14,7,0,2,0,6,29,6,29
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.IosApp\FirstViewController.cs,66,49,26,0,14,0,3,31,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.IosApp\FirstViewController.designer.cs,37,24,12,0,7,0,6,29,6,29
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.IosApp\LogTableViewController.cs,21,15,7,0,5,0,1,13,1,13
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.IosApp\LogTableViewController.designer.cs,22,14,7,0,2,0,6,29,6,29
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.IosApp\Main.cs,21,15,9,0,3,0,3,26,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.IosApp\SecondViewController.cs,63,45,23,0,15,0,3,31,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.IosApp\SecondViewController.designer.cs,22,14,7,0,2,0,6,29,6,29
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.LogManager\MyClass.cs,14,10,4,0,4,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.LogManager\Properties\AssemblyInfo.cs,28,11,2,0,8,0,9,71,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MergerTestWin\MergerForm.cs,70,63,40,5,7,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MergerTestWin\MergerForm.Designer.cs,113,76,62,1,8,0,29,60,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MergerTestWin\Program.cs,23,18,11,0,2,0,3,12,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MergerTestWin\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MergerTestWin\Properties\Resources.Designer.cs,72,41,16,3,9,1,22,119,0,1
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MergerTestWin\Properties\Settings.Designer.cs,31,17,6,1,6,1,8,30,0,1
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MobileApp\App.cs,20,19,7,1,1,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.MobileApp\Properties\AssemblyInfo.cs,25,10,1,0,6,0,9,70,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\ConnectionTimeOutException.cs,12,11,4,0,1,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\DatabaseManager.cs,221,201,99,12,19,2,1,10,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\FileChangesCollection.cs,18,15,9,0,3,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\FileInf.cs,65,54,32,1,11,1,0,4,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\FileInfComparer.cs,18,16,8,2,2,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\InvalidHostException.cs,11,10,4,0,1,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\PiggyFileException.cs,17,15,5,0,2,0,0,0,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\PiggyRemoteHost.cs,84,68,40,7,16,1,0,2,0,0
C:\Users\Wojciech\Documents\Praca in¿\PiggySync\PiggySync.Model\PiggyRemoteHostHistoryEntry.cs,21,17,8,0,4,0,0,0,0,0
